"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference"
2020-06-24T00:02:11.022Z,N/A,N/A,"Tyla Yaweh - High Right Now",true,Australia,N/A,1453578805
2020-06-23T13:36:50.558Z,N/A,N/A,"The Vamps & Matoma - All Night",true,Australia,N/A,1440899897
2020-06-23T13:34:03.565Z,Playlist,N/A,"S1mba - Rover (feat. DTG)",true,Australia,"pl.abe8ba42278f4ef490e3a9fc5ec8e8c5",1501569242
2020-06-23T13:31:18.888Z,N/A,N/A,"Polo G - 21",true,Australia,N/A,1511793615
2020-06-23T13:27:34.194Z,N/A,N/A,"Tyla Yaweh - Tommy Lee (feat. Post Malone)",true,Australia,N/A,1517721998
2020-06-23T11:11:20.084Z,N/A,N/A,"J. Cole - She Knows (feat. Amber Coffman & Cults)",true,Australia,N/A,651106089
2020-06-23T10:53:27.796Z,N/A,N/A,"Big Sean - Marvin & Chardonnay (feat. Kanye West & Roscoe Dash)",true,Australia,N/A,481515913
2020-06-23T10:53:26.686Z,N/A,N/A,"Michael Bublé - Haven't Met You Yet",true,Australia,N/A,668403662
2020-06-23T10:53:24.598Z,N/A,N/A,"Metro Boomin - Space Cadet (feat. Gunna)",true,Australia,N/A,1441065647
2020-06-23T10:53:23.344Z,N/A,N/A,"BROCKHAMPTON - 1999 WILDFIRE",true,Australia,N/A,1406961800
2020-06-23T10:53:22.525Z,N/A,N/A,"J. Cole - Lights Please",true,Australia,N/A,1438892853
2020-06-23T10:53:21.421Z,N/A,N/A,"Drake - Sacrifices (feat. 2 Chainz & Young Thug)",true,Australia,N/A,1216997141
2020-06-23T10:53:20.838Z,N/A,N/A,"Aminé - REEL IT IN",true,Australia,N/A,1423772675
2020-06-23T10:53:19.680Z,N/A,N/A,"A$AP Mob - RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",true,Australia,N/A,1239590108
2020-06-23T10:53:17.444Z,N/A,N/A,"Ty Dolla $ign - Clout (feat. 21 Savage)",true,Australia,N/A,1381440739
2020-06-23T10:47:22.294Z,N/A,N/A,"Lil Tecca - My Time",true,Australia,N/A,1472557457
2020-06-23T10:43:44.221Z,N/A,N/A,"Ninajirachi - Glass (feat. Sequel)",true,Australia,N/A,1449453871
2020-06-23T10:43:43.949Z,N/A,N/A,"Lil Uzi Vert, Quavo & Travis Scott - Go Off",true,Australia,N/A,1210538350
2020-06-23T08:48:18.972Z,N/A,N/A,"The Wanted - Glad You Came",true,Australia,N/A,472632647
2020-06-23T08:45:32.952Z,N/A,N/A,"Kendrick Lamar - Swimming Pools (Drank) [Extended Version]",true,Australia,N/A,1440873548
2020-06-23T08:42:13.108Z,N/A,N/A,"Pop Smoke - PTSD",true,Australia,N/A,1473525514
2020-06-23T08:39:59.102Z,N/A,N/A,"iann dior - Never Is Enough",true,Australia,N/A,1484726886
2020-06-23T08:35:30.812Z,N/A,N/A,"Hermitude - HyperParadise (Flume Remix)",true,Australia,N/A,534213933
2020-06-23T04:51:28.748Z,N/A,N/A,"BROCKHAMPTON - MILK",true,Australia,N/A,1245319883
2020-06-23T04:51:22.523Z,N/A,N/A,"Mac Miller - Dang! (feat. Anderson .Paak)",true,Australia,N/A,1137966096
2020-06-23T04:50:34.421Z,N/A,N/A,"Trippie Redd - Taking a Walk",true,Australia,N/A,1421575793
2020-06-23T04:50:33.049Z,N/A,N/A,"Pitbull & Ne-Yo - Time of Our Lives",true,Australia,N/A,933984166
2020-06-23T04:50:32.199Z,N/A,N/A,"Kanye West - Fade",true,Australia,N/A,1123242228
2020-06-23T04:50:27.654Z,N/A,N/A,"omniboi - Amnesia",true,Australia,N/A,1264932468
2020-06-23T04:50:22.880Z,N/A,N/A,"Logic - Hallelujah",true,Australia,N/A,1221022716
2020-06-23T04:50:21.370Z,N/A,N/A,"Childish Gambino - III. Urn",true,Australia,N/A,740374063
2020-06-23T04:50:19.997Z,N/A,N/A,"David Guetta & Akon - Sexy Bitch (feat. Akon)",true,Australia,N/A,710577595
2020-06-23T04:50:18.034Z,N/A,N/A,"Hunters & Collectors - Holy Grail",true,Australia,N/A,745386002
2020-06-23T04:50:16.351Z,N/A,N/A,"BENEE - Find an Island",true,Australia,N/A,1486928231
2020-06-23T04:50:14.635Z,N/A,N/A,"Lil Xan - Betrayed",true,Australia,N/A,1298609050
2020-06-23T04:50:13.984Z,N/A,N/A,"Guido Dos Santos - Luv Scars (feat. Lil Uzi Vert)",true,Australia,N/A,1407526126
2020-06-23T04:50:08.022Z,N/A,N/A,"Flosstradamus - Rollup (Baauer Remix)",true,Australia,N/A,1359406098
2020-06-23T04:50:00.469Z,N/A,N/A,"Aminé - WHY?",true,Australia,N/A,1423772805
2020-06-23T04:50:00.293Z,N/A,N/A,"null - Goodwill - Golden Times",true,Australia,N/A,182874378
2020-06-23T04:49:58.960Z,N/A,N/A,"Childish Gambino - Fire Fly",true,Australia,N/A,476509405
